drug_id,disease_id,drug_encoded,disease_encoded,label
DB00046,MESH:D016640,33,945,1
DB00046,MESH:D003922,33,289,1
DB00046,MESH:D003924,33,290,1
DB00047,MESH:D003920,34,288,1
DB00047,MESH:D003922,34,289,1
DB00047,MESH:D003924,34,290,1
DB00048,MESH:D004387,35,304,1
DB00048,MESH:D010411,35,650,1
DB00049,MESH:D033461,36,1076,1
DB00051,MESH:D003424,37,257,1
DB00051,MESH:D015535,37,916,1
DB00051,MESH:D017511,37,975,1
DB00051,MESH:C565798,37,54,1
DB00052,MESH:D002100,38,187,1
DB00052,MESH:D005183,38,353,1
DB00052,MESH:D012778,38,762,1
DB00052,MESH:D004392,38,305,1
DB00053,MESH:D005776,39,373,1
DB00054,MESH:D013927,40,816,1
DB00056,MESH:D015470,41,910,1
DB00058,MESH:D004646,42,317,1
DB00059,MESH:D054198,43,1116,1
DB00060,MESH:D020529,44,1056,1
DB00061,MESH:C531816,45,17,1
DB00062,MESH:D011704,46,709,1
DB00062,MESH:D006967,46,450,1
DB00062,MESH:D034141,46,1077,1
DB00062,MESH:D007019,46,463,1
DB00062,MESH:D020896,46,1063,1
DB00062,MESH:D012769,46,759,1
DB00062,MESH:D017114,46,962,1
DB00062,MESH:D051556,46,1102,1
DB00063,MESH:D054058,47,1112,1
DB00063,MESH:D013927,47,816,1
DB00065,MESH:D013167,48,777,1
DB00065,MESH:D003424,48,257,1
DB00065,MESH:D011565,48,697,1
DB00065,MESH:D015535,48,916,1
DB00065,MESH:D001172,48,137,1
DB00065,MESH:D003093,48,237,1
DB00067,MESH:D012769,49,759,1
DB00068,MESH:D020529,50,1056,1
DB00068,MESH:D020528,50,1055,1
DB00070,MESH:D015451,51,905,1
DB00070,MESH:D008224,51,532,1
DB00070,MESH:D016403,51,935,1
DB00071,MESH:D003922,52,289,1
DB00072,MESH:D001943,53,179,1
DB00073,MESH:D015451,54,905,1
DB00073,MESH:D014890,54,880,1
DB00073,MESH:D055953,54,1135,1
DB00073,MESH:D008228,54,533,1
DB00073,MESH:D010392,54,649,1
DB00073,MESH:C565798,54,54,1
DB00078,MESH:D008224,55,532,1
DB00080,MESH:D016470,56,937,1
DB00080,MESH:D017192,56,968,1
DB00082,MESH:D000172,57,85,1
DB00083,MESH:D001764,58,171,1
DB00083,MESH:D014103,58,832,1
DB00083,MESH:D003027,58,234,1
DB00083,MESH:D012798,58,763,1
DB00083,MESH:D013285,58,789,1
DB00083,MESH:D009128,58,573,1
DB00083,MESH:D053201,58,1109,1
DB00083,MESH:D014549,58,854,1
DB00085,MESH:D003967,59,295,1
DB00085,MESH:D010188,59,634,1
DB00085,MESH:C000593,59,1,1
DB00085,MESH:D045602,59,1085,1
DB00087,MESH:D000744,60,114,1
DB00087,MESH:D015451,60,905,1
DB00087,MESH:D006086,60,387,1
DB00087,MESH:D020529,60,1056,1
DB00087,MESH:D015461,60,906,1
DB00089,MESH:D011471,61,689,1
DB00090,MESH:D008059,62,515,1
DB00091,MESH:D003876,63,283,1
DB00091,MESH:D003240,63,247,1
DB00091,MESH:D005923,63,382,1
DB00091,MESH:D006086,63,387,1
DB00091,MESH:D016553,63,941,1
DB00091,MESH:D018856,63,1004,1
DB00091,MESH:D001171,63,136,1
DB00091,MESH:D008181,63,528,1
DB00091,MESH:D009404,63,597,1
DB00091,MESH:D012393,63,736,1
DB00091,MESH:D006084,63,386,1
DB00091,MESH:C536404,63,29,1
DB00091,MESH:D014605,63,862,1
DB00091,MESH:D004402,63,307,1
DB00094,MESH:D007246,64,473,1
DB00098,MESH:D006084,65,386,1
DB00098,MESH:D009190,65,579,1
DB00099,MESH:D011832,66,713,1
DB00099,MESH:D009503,66,606,1
DB00099,MESH:D064147,66,1170,1
DB00099,MESH:C564320,66,53,1
DB00100,MESH:D002836,67,229,1
DB00102,MESH:D012883,68,770,1
DB00103,MESH:D000795,69,122,1
DB00104,MESH:D000172,70,85,1
DB00105,MESH:D019698,71,1023,1
DB00105,MESH:D007943,71,512,1
DB00105,MESH:D012514,71,744,1
DB00105,MESH:D008545,71,546,1
DB00107,MESH:D006473,72,408,1
DB00108,MESH:D020529,73,1056,1
DB00109,MESH:D015497,74,913,1
DB00110,MESH:D018357,75,990,1
DB00114,MESH:D000752,76,115,1
DB00115,MESH:D000752,77,115,1
DB00115,MESH:D014806,77,873,1
DB00125,MESH:D000172,78,85,1
DB00125,MESH:D005877,78,376,1
DB00125,MESH:D022124,78,1068,1
DB00125,MESH:D007016,78,461,1
DB00125,MESH:D007018,78,462,1
DB00125,MESH:D004393,78,306,1
DB00125,MESH:D010911,78,664,1
DB00125,MESH:D056806,78,1138,1
DB00125,MESH:D003397,78,256,1
DB00126,MESH:D012614,79,752,1
DB00136,MESH:D006962,80,448,1
DB00136,MESH:D006996,80,455,1
DB00136,MESH:D011565,80,697,1
DB00136,MESH:D063730,80,1165,1
DB00140,MESH:D012257,81,733,1
DB00140,MESH:D008881,81,561,1
DB00146,MESH:D006962,82,448,1
DB00152,MESH:D001602,83,158,1
DB00152,MESH:D013832,83,810,1
DB00152,MESH:D014899,83,881,1
DB00153,MESH:D007015,84,460,1
DB00153,MESH:D063730,84,1165,1
DB00157,MESH:D000752,85,115,1
DB00158,MESH:D009436,86,599,1
DB00162,MESH:D014802,87,872,1
DB00165,MESH:D020250,88,1036,1
DB00165,MESH:D026681,88,1071,1
DB00169,MESH:D007015,89,460,1
DB00169,MESH:D063730,89,1165,1
DB00175,MESH:D003324,90,252,1
DB00175,MESH:D003643,90,269,1
DB00175,MESH:D006952,90,443,1
DB00175,MESH:D006938,90,438,1
DB00175,MESH:D006937,90,437,1
DB00175,MESH:D006949,90,441,1
DB00175,MESH:D006954,90,445,1
DB00175,MESH:D009203,90,582,1
DB00175,MESH:D009204,90,583,1
DB00175,MESH:D020521,90,1053,1
DB00175,MESH:D002546,90,209,1
DB00175,MESH:D015228,90,898,1
DB00176,MESH:D052018,91,1104,1
DB00176,MESH:D003865,91,277,1
DB00176,MESH:D009771,91,609,1
DB00177,MESH:D003928,92,291,1
DB00177,MESH:D006973,92,451,1
DB00177,MESH:D018487,92,994,1
DB00177,MESH:D006333,92,397,1
DB00178,MESH:D003928,93,291,1
DB00178,MESH:D006333,93,397,1
DB00178,MESH:D054143,93,1114,1
DB00178,MESH:D006973,93,451,1
DB00178,MESH:D009203,93,582,1
DB00178,MESH:D020521,93,1053,1
DB00180,MESH:D065631,94,1178,1
DB00180,MESH:D001249,94,142,1
DB00181,MESH:D018771,95,999,1
DB00181,MESH:D063806,95,1166,1
DB00181,MESH:D013036,95,775,1
DB00182,MESH:D001289,96,147,1
DB00182,MESH:D009765,96,608,1
DB00182,MESH:D000341,96,95,1
DB00182,MESH:D009290,96,587,1
DB00182,MESH:D059350,96,1153,1
DB00183,MESH:C536914,97,36,1
DB00184,MESH:D003731,98,274,1
DB00185,MESH:D014987,99,888,1
DB00186,MESH:D000071,100,69,1
DB00186,MESH:D000430,100,98,1
DB00186,MESH:D001007,100,131,1
DB00186,MESH:D001008,100,132,1
DB00186,MESH:D002389,100,205,1
DB00186,MESH:D014839,100,876,1
DB00186,MESH:D003693,100,271,1
DB00186,MESH:D007319,100,478,1
DB00186,MESH:D013035,100,774,1
DB00186,MESH:D016584,100,943,1
DB00186,MESH:D013226,100,782,1
DB00187,MESH:D001281,101,145,1
DB00187,MESH:D013617,101,801,1
DB00187,MESH:D013616,101,800,1
DB00188,MESH:D020522,102,1054,1
DB00188,MESH:D009101,102,568,1
DB00190,MESH:D010300,103,643,1
DB00190,MESH:D010301,103,644,1
DB00190,MESH:D010302,103,645,1
DB00191,MESH:D009765,104,608,1
DB00193,MESH:D059787,105,1158,1
DB00193,MESH:D061686,105,1163,1
DB00195,MESH:D006973,106,451,1
DB00195,MESH:D009798,106,610,1
DB00196,MESH:D058387,107,1146,1
DB00196,MESH:D002177,107,193,1
DB00196,MESH:D003047,107,235,1
DB00196,MESH:D009181,107,577,1
DB00196,MESH:D011537,107,693,1
DB00196,MESH:D016919,107,957,1
DB00196,MESH:D002181,107,197,1
DB00196,MESH:D058365,107,1145,1
DB00198,MESH:D007251,108,476,1
DB00198,MESH:D009981,108,620,1
DB00199,MESH:D000152,109,84,1
DB00199,MESH:D001424,109,151,1
DB00199,MESH:D002602,109,215,1
DB00199,MESH:D002692,109,220,1
DB00199,MESH:D011014,109,668,1
DB00199,MESH:D004165,109,298,1
DB00199,MESH:D004894,109,342,1
DB00199,MESH:D018589,109,997,1
DB00199,MESH:D006100,109,388,1
DB00199,MESH:D007877,109,502,1
DB00199,MESH:D008088,109,518,1
DB00199,MESH:D008219,109,530,1
DB00199,MESH:D014526,109,853,1
DB00199,MESH:D009878,109,615,1
DB00199,MESH:D014917,109,882,1
DB00199,MESH:D013530,109,796,1
DB00199,MESH:D002601,109,214,1
DB00199,MESH:D012141,109,724,1
DB00199,MESH:D013207,109,781,1
DB00199,MESH:D013587,109,799,1
DB00199,MESH:D012213,109,728,1
DB00199,MESH:D015821,109,928,1
DB00200,MESH:D000752,110,115,1
DB00200,MESH:D020258,110,1038,1
DB00200,MESH:D014806,110,873,1
DB00201,MESH:D005221,111,357,1
DB00201,MESH:D006261,111,393,1
DB00201,MESH:D008881,111,561,1
DB00201,MESH:D010146,111,632,1
DB00201,MESH:D012131,111,723,1
DB00201,MESH:D000077,111,73,1
DB00201,MESH:D018781,111,1000,1
DB00203,MESH:D007172,112,470,1
DB00203,MESH:D000081,112,78,1
DB00205,MESH:D008288,113,538,1
DB00205,MESH:D014123,113,834,1
DB00205,MESH:C531736,113,16,1
DB00206,MESH:D006973,114,451,1
DB00206,MESH:D011618,114,700,1
DB00207,MESH:D010033,115,629,1
DB00207,MESH:D003234,115,245,1
DB00207,MESH:D012852,115,766,1
DB00207,MESH:D002575,115,211,1
DB00207,MESH:D002602,115,215,1
DB00207,MESH:D011014,115,668,1
DB00207,MESH:D000292,115,90,1
DB00207,MESH:D010612,115,659,1
DB00207,MESH:D014069,115,829,1
DB00207,MESH:D004403,115,308,1
DB00207,MESH:D014526,115,853,1
DB00208,MESH:D020521,116,1053,1
DB00209,MESH:D053201,117,1109,1
DB00210,MESH:D000152,118,84,1
DB00211,MESH:D007024,119,466,1
DB00213,MESH:D016481,120,938,1
DB00213,MESH:D005764,120,371,1
DB00213,MESH:D014945,120,885,1
DB00213,MESH:D006356,120,399,1
DB00213,MESH:D015043,120,891,1
DB00214,MESH:D004487,121,315,1
DB00214,MESH:D006973,121,451,1
DB00215,MESH:D000856,122,125,1
DB00215,MESH:D052018,122,1104,1
DB00215,MESH:D000341,122,95,1
DB00215,MESH:D003929,122,292,1
DB00215,MESH:D003865,122,277,1
DB00215,MESH:D009771,122,609,1
DB00215,MESH:D016584,122,943,1
DB00215,MESH:D013313,122,790,1
DB00215,MESH:D061686,122,1163,1
DB00215,MESH:D065446,122,1177,1
DB00215,MESH:D000072,122,70,1
DB00216,MESH:D008881,123,561,1
DB00216,MESH:D020325,123,1046,1
DB00218,MESH:D001991,124,181,1
DB00218,MESH:D003234,124,245,1
DB00218,MESH:D011014,124,668,1
DB00218,MESH:D010930,124,665,1
DB00218,MESH:D012852,124,766,1
DB00218,MESH:D015818,124,927,1
DB00218,MESH:D002179,124,195,1
DB00220,MESH:D015658,125,920,1
DB00222,MESH:D003924,126,290,1
DB00223,MESH:D012871,127,768,1
DB00224,MESH:D015658,128,920,1
DB00227,MESH:D003327,129,253,1
DB00227,MESH:D050171,129,1096,1
DB00227,MESH:D006938,129,438,1
DB00227,MESH:D006937,129,437,1
DB00227,MESH:D058729,129,1149,1
DB00230,MESH:D003929,130,292,1
DB00230,MESH:D005356,130,361,1
DB00230,MESH:D009437,130,600,1
DB00230,MESH:D012640,130,754,1
DB00230,MESH:D051474,130,1101,1
DB00231,MESH:D007319,131,478,1
DB00232,MESH:D004487,132,315,1
DB00232,MESH:D006973,132,451,1
DB00233,MESH:D014376,133,844,1
DB00235,MESH:D006333,134,397,1
DB00237,MESH:D007319,135,478,1
DB00238,MESH:D015658,136,920,1
DB00239,MESH:D015821,137,928,1
DB00239,MESH:D014010,137,828,1
DB00239,MESH:D014008,137,826,1
DB00240,MESH:D012871,138,768,1
DB00241,MESH:D018781,139,1000,1
DB00242,MESH:D015451,140,905,1
DB00242,MESH:C063419,140,9,1
DB00242,MESH:D007943,140,512,1
DB00242,MESH:D008228,140,533,1
DB00243,MESH:D014927,141,884,1
DB00244,MESH:D003424,142,257,1
DB00244,MESH:D011350,142,687,1
DB00244,MESH:D003093,142,237,1
DB00245,MESH:D020734,143,1057,1
DB00246,MESH:D000071,144,69,1
DB00246,MESH:D011618,144,700,1
DB00246,MESH:D012559,144,750,1
DB00246,MESH:D001714,144,162,1
DB00248,MESH:D006966,145,449,1
DB00250,MESH:D000152,146,84,1
DB00250,MESH:D003874,146,282,1
DB00250,MESH:D007918,146,508,1
DB00250,MESH:D010392,146,649,1
DB00250,MESH:D011081,146,672,1
DB00250,MESH:D016553,146,941,1
DB00251,MESH:D002181,147,197,1
DB00252,MESH:D012640,148,754,1
DB00253,MESH:D003233,149,244,1
DB00253,MESH:D015423,149,903,1
DB00254,MESH:D000151,150,83,1
DB00254,MESH:D012393,150,736,1
DB00254,MESH:D000196,150,86,1
DB00254,MESH:D001474,150,155,1
DB00254,MESH:D002006,150,182,1
DB00254,MESH:D002602,150,215,1
DB00254,MESH:D002771,150,223,1
DB00254,MESH:D003015,150,233,1
DB00254,MESH:D006069,150,384,1
DB00254,MESH:D006100,150,388,1
DB00254,MESH:D004927,150,344,1
DB00254,MESH:D002169,150,192,1
DB00254,MESH:D004404,150,309,1
DB00254,MESH:D008088,150,518,1
DB00254,MESH:D008219,150,530,1
DB00254,MESH:D005892,150,379,1
DB00254,MESH:D010930,150,665,1
DB00254,MESH:D008288,150,538,1
DB00254,MESH:D002601,150,214,1
DB00254,MESH:D009956,150,619,1
DB00254,MESH:D011778,150,711,1
DB00254,MESH:D012061,150,720,1
DB00254,MESH:D012141,150,724,1
DB00254,MESH:D000073,150,71,1
DB00254,MESH:D012373,150,735,1
DB00254,MESH:C536773,150,32,1
DB00254,MESH:D004405,150,310,1
DB00254,MESH:D014141,150,835,1
DB00254,MESH:D014406,150,848,1
DB00254,MESH:D014438,150,850,1
DB00254,MESH:D014526,150,853,1
DB00254,MESH:D014552,150,856,1
DB00254,MESH:D015001,150,889,1
DB00254,MESH:D002179,150,195,1
DB00257,MESH:D002179,151,195,1
DB00257,MESH:D015821,151,928,1
DB00257,MESH:D014005,151,824,1
DB00257,MESH:D014008,151,826,1
DB00257,MESH:D002181,151,197,1
DB00258,MESH:D054559,152,1123,1
DB00259,MESH:D002181,153,197,1
DB00261,MESH:D013922,154,814,1
DB00262,MESH:D001254,155,144,1
DB00262,MESH:D004806,155,331,1
DB00262,MESH:D005909,155,381,1
DB00262,MESH:D008527,155,544,1
DB00262,MESH:D009182,155,578,1
DB00262,MESH:C079345,155,12,1
DB00263,MESH:D010033,156,629,1
DB00264,MESH:D000787,157,119,1
DB00264,MESH:D001281,157,145,1
DB00264,MESH:D006973,157,451,1
DB00264,MESH:D008881,157,561,1
DB00264,MESH:D009203,157,582,1
DB00264,MESH:D013617,157,801,1
DB00264,MESH:D013958,157,819,1
DB00264,MESH:D006333,157,397,1
DB00268,MESH:D010300,158,643,1
DB00270,MESH:D006973,159,451,1
DB00273,MESH:D000437,160,99,1
DB00273,MESH:D012640,160,754,1
DB00273,MESH:D065768,160,1180,1
DB00273,MESH:D008881,160,561,1
DB00273,MESH:D019964,160,1025,1
DB00273,MESH:D004830,160,335,1
DB00275,MESH:D003928,161,291,1
DB00275,MESH:D006973,161,451,1
DB00275,MESH:C036843,161,8,1
DB00276,MESH:D007938,162,511,1
DB00277,MESH:D016084,163,932,1
DB00278,MESH:D013927,164,816,1
DB00279,MESH:D006980,165,454,1
DB00279,MESH:D007037,165,467,1
DB00279,MESH:D013964,165,820,1
DB00279,MESH:D006042,165,383,1
DB00279,MESH:D009230,165,586,1
DB00280,MESH:D014927,166,884,1
DB00281,MESH:D051474,167,1101,1
DB00281,MESH:D014927,167,884,1
DB00282,MESH:D010014,168,624,1
DB00282,MESH:D010001,168,621,1
DB00282,MESH:C000601,168,3,1
DB00283,MESH:D065631,169,1178,1
DB00283,MESH:D000799,169,123,1
DB00283,MESH:D014581,169,858,1
DB00283,MESH:D003139,169,241,1
DB00284,MESH:D003924,170,290,1
DB00285,MESH:D000073,171,71,1
DB00285,MESH:D003865,171,277,1
DB00285,MESH:D008881,171,561,1
DB00285,MESH:D009437,171,600,1
DB00285,MESH:D016584,171,943,1
DB00285,MESH:D000072,171,70,1
DB00286,MESH:D059268,172,1152,1
DB00286,MESH:D010024,172,627,1
DB00286,MESH:D008594,172,553,1
DB00286,MESH:C537436,172,40,1
DB00287,MESH:D009798,173,610,1
DB00288,MESH:D007249,174,475,1
DB00288,MESH:D011537,174,693,1
DB00289,MESH:D001289,175,147,1
DB00290,MESH:D002583,176,212,1
DB00290,MESH:D000077,176,73,1
DB00290,MESH:D006689,176,427,1
DB00290,MESH:D016066,176,931,1
DB00290,MESH:D008228,176,533,1
DB00290,MESH:D010051,176,630,1
DB00290,MESH:D010412,176,651,1
DB00290,MESH:D011030,176,671,1
DB00290,MESH:D013736,176,807,1
DB00290,MESH:D014846,176,877,1
DB00290,MESH:D000952,176,129,1
DB00291,MESH:D015451,177,905,1
DB00291,MESH:D006689,177,427,1
DB00291,MESH:D009402,177,596,1
DB00291,MESH:D008228,177,533,1
DB00291,MESH:D008258,177,534,1
DB00291,MESH:D008224,177,532,1
DB00293,MESH:D054363,178,1119,1
DB00295,MESH:D059350,179,1153,1
DB00296,MESH:D059787,180,1158,1
DB00297,MESH:D015210,181,895,1
DB00297,MESH:D000305,181,91,1
DB00297,MESH:D000506,181,102,1
DB00297,MESH:D013167,181,777,1
DB00297,MESH:D001607,181,159,1
DB00297,MESH:D003874,181,282,1
DB00297,MESH:D000312,181,94,1
DB00297,MESH:D005199,181,355,1
DB00297,MESH:D003882,181,286,1
DB00297,MESH:D008179,181,526,1
DB00297,MESH:D001929,181,177,1
DB00297,MESH:D013716,181,805,1
DB00297,MESH:D009877,181,614,1
DB00297,MESH:D000743,181,113,1
DB00297,MESH:D007627,181,485,1
DB00297,MESH:D007938,181,511,1
DB00297,MESH:D009182,181,578,1
DB00297,MESH:D009335,181,591,1
DB00297,MESH:D009879,181,616,1
DB00297,MESH:D010003,181,622,1
DB00297,MESH:D017285,181,970,1
DB00297,MESH:D015535,181,916,1
DB00297,MESH:D010267,181,642,1
DB00297,MESH:D012010,181,719,1
DB00297,MESH:D003424,181,257,1
DB00297,MESH:D001172,181,137,1
DB00297,MESH:D013921,181,813,1
DB00297,MESH:D013262,181,783,1
DB00297,MESH:D013585,181,798,1
DB00297,MESH:D008180,181,527,1
DB00297,MESH:D013700,181,804,1
DB00297,MESH:D014235,181,839,1
DB00297,MESH:D014390,181,845,1
DB00297,MESH:D003093,181,237,1
DB00297,MESH:D014605,181,862,1
DB00297,MESH:D013717,181,806,1
DB00297,MESH:D003873,181,281,1
DB00297,MESH:D008010,181,514,1
DB00297,MESH:D013968,181,822,1
DB00299,MESH:D006560,182,419,1
DB00300,MESH:D019694,183,1022,1
DB00300,MESH:D015658,183,920,1
DB00302,MESH:D006470,184,405,1
DB00302,MESH:D054179,184,1115,1
DB00303,MESH:D011014,185,668,1
DB00303,MESH:D004716,185,326,1
DB00303,MESH:D034161,185,1078,1
DB00303,MESH:D011704,185,709,1
DB00303,MESH:D000031,185,65,1
DB00303,MESH:D013530,185,796,1
DB00303,MESH:D002179,185,195,1
DB00305,MESH:D001943,186,179,1
DB00305,MESH:D001005,186,130,1
DB00305,MESH:D001749,186,166,1
DB00305,MESH:D002583,186,212,1
DB00305,MESH:D000077,186,73,1
DB00305,MESH:D002289,186,200,1
DB00305,MESH:D008654,186,558,1
DB00308,MESH:D001281,187,145,1
DB00308,MESH:D001282,187,146,1
DB00310,MESH:C563477,188,50,1
DB00312,MESH:D007319,189,478,1
DB00313,MESH:D003863,190,276,1
DB00313,MESH:D001714,190,162,1
DB00313,MESH:D012640,190,754,1
DB00313,MESH:D008881,190,561,1
DB00313,MESH:D013226,190,782,1
DB00314,MESH:D014376,191,844,1
DB00315,MESH:D008881,192,561,1
DB00316,MESH:D005334,193,359,1
DB00316,MESH:D010146,193,632,1
DB00318,MESH:D003371,194,255,1
DB00318,MESH:D010146,194,632,1
DB00319,MESH:D000069836,195,68,1
DB00319,MESH:D000292,195,90,1
DB00319,MESH:D010538,195,657,1
DB00319,MESH:D013530,195,796,1
DB00319,MESH:C567379,195,60,1
DB00320,MESH:D003027,196,234,1
DB00320,MESH:D008881,196,561,1
DB00320,MESH:D011655,196,704,1
DB00321,MESH:D003863,197,276,1
DB00321,MESH:D000856,197,125,1
DB00321,MESH:D001289,197,147,1
DB00321,MESH:D052018,197,1104,1
DB00321,MESH:D000341,197,95,1
DB00321,MESH:D003929,197,292,1
DB00321,MESH:D007319,197,478,1
DB00321,MESH:D043183,197,1082,1
DB00321,MESH:D003865,197,277,1
DB00321,MESH:D008881,197,561,1
DB00321,MESH:D053206,197,1110,1
DB00321,MESH:D009437,197,600,1
DB00321,MESH:D020920,197,1064,1
DB00321,MESH:D018781,197,1000,1
DB00323,MESH:D010300,198,643,1
DB00324,MESH:D009877,199,614,1
DB00324,MESH:D015818,199,927,1
DB00325,MESH:D006470,200,405,1
DB00325,MESH:D006333,200,397,1
DB00325,MESH:C031967,200,7,1
DB00327,MESH:D010146,201,632,1
DB00327,MESH:D009437,201,600,1
DB00327,MESH:D003371,201,255,1
DB00328,MESH:D013167,202,777,1
DB00328,MESH:D002062,202,186,1
DB00328,MESH:D015210,202,895,1
DB00328,MESH:D010003,202,622,1
DB00328,MESH:D059787,202,1158,1
DB00328,MESH:D004374,202,302,1
DB00328,MESH:D001172,202,137,1
DB00328,MESH:D052256,202,1105,1
DB00330,MESH:D009164,203,576,1
DB00330,MESH:D015270,203,900,1
DB00330,MESH:D014397,203,847,1
DB00331,MESH:D011085,204,673,1
DB00331,MESH:D003924,204,290,1
DB00332,MESH:D001249,205,142,1
DB00332,MESH:D001986,205,180,1
DB00332,MESH:D029424,205,1073,1
DB00332,MESH:D003139,205,241,1
DB00332,MESH:D012221,205,731,1
DB00333,MESH:D009293,206,588,1
DB00334,MESH:D003863,207,276,1
DB00334,MESH:D001714,207,162,1
DB00334,MESH:D003693,207,271,1
DB00334,MESH:D063726,207,1164,1
DB00334,MESH:D005879,207,377,1
DB00334,MESH:D013313,207,790,1
DB00334,MESH:D011618,207,700,1
DB00334,MESH:D012559,207,750,1
DB00335,MESH:D000787,208,119,1
DB00335,MESH:D001281,208,145,1
DB00335,MESH:D006333,208,397,1
DB00335,MESH:D006973,208,451,1
DB00335,MESH:D008881,208,561,1
DB00335,MESH:D009203,208,582,1
DB00335,MESH:D013971,208,823,1
DB00335,MESH:D017180,208,966,1
DB00337,MESH:D014820,209,875,1
DB00338,MESH:D016481,210,938,1
DB00338,MESH:D004381,210,303,1
DB00338,MESH:D013276,210,785,1
DB00338,MESH:D005764,210,371,1
DB00338,MESH:D014945,210,885,1
DB00338,MESH:D006356,210,399,1
DB00338,MESH:D015043,210,891,1
DB00338,MESH:D009377,210,594,1
DB00339,MESH:D014376,211,844,1
DB00339,MESH:D014397,211,847,1
DB00341,MESH:D000080,212,77,1
DB00341,MESH:D012221,212,731,1
DB00341,MESH:D006255,212,392,1
DB00341,MESH:D057985,212,1143,1
DB00343,MESH:D005401,213,363,1
DB00343,MESH:D000788,213,120,1
DB00343,MESH:D000787,213,119,1
DB00343,MESH:D001281,213,145,1
DB00343,MESH:D060050,213,1159,1
DB00343,MESH:D001282,213,146,1
DB00343,MESH:D006973,213,451,1
DB00343,MESH:D002311,213,202,1
DB00343,MESH:D013617,213,801,1
DB00343,MESH:D011507,213,691,1
DB00343,MESH:D006976,213,453,1
DB00343,MESH:D020922,213,1065,1
DB00344,MESH:D000341,214,95,1
DB00345,MESH:D059350,215,1153,1
DB00346,MESH:D011470,216,688,1
DB00347,MESH:D013226,217,782,1
DB00348,MESH:D020176,218,1031,1
DB00349,MESH:D004827,219,334,1
DB00350,MESH:D000505,220,101,1
DB00351,MESH:D001943,221,179,1
DB00351,MESH:D000855,221,124,1
DB00351,MESH:D002100,221,187,1
DB00352,MESH:D015470,222,910,1
DB00353,MESH:D006473,223,408,1
DB00353,MESH:D014593,223,861,1
DB00355,MESH:D006483,224,410,1
DB00355,MESH:D059413,224,1156,1
DB00355,MESH:D064147,224,1170,1
DB00355,MESH:D010019,224,626,1
DB00355,MESH:D011552,224,696,1
DB00355,MESH:D001170,224,135,1
DB00355,MESH:D014552,224,856,1
DB00355,MESH:D002179,224,195,1
